"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","30-May-2017","       1631.90","       1630.00","       1633.50","       1616.15","       1631.40","       1629.05","       1622.75","    1108546","          1798890005.00","      26377","     592343","         53.43"
"HDFCBANK","EQ","31-May-2017","       1629.05","       1625.00","       1643.00","       1623.15","       1640.00","       1636.20","       1631.48","    1329728","          2169429926.80","      18717","     926698","         69.69"
"HDFCBANK","EQ","01-Jun-2017","       1636.20","       1639.00","       1639.85","       1620.55","       1627.00","       1628.60","       1630.91","     839885","          1369779680.10","      21114","     481729","         57.36"
"HDFCBANK","IL","01-Jun-2017","       1646.00","       1645.25","       1645.25","       1645.25","-","       1645.25","       1645.25","      16000","            26324000.00","          1","      16000","        100.00"
"HDFCBANK","EQ","02-Jun-2017","       1628.60","       1634.00","       1646.10","       1626.20","       1631.85","       1634.25","       1636.04","     803386","          1314369622.75","      17867","     390838","         48.65"
"HDFCBANK","IL","02-Jun-2017","       1645.25","       1642.10","       1645.00","       1642.05","-","       1642.05","       1642.66","     126000","           206975250.00","          8","      57500","         45.63"
"HDFCBANK","EQ","05-Jun-2017","       1634.25","       1633.70","       1638.95","       1625.00","       1638.50","       1635.55","       1633.27","     724975","          1184083532.85","      14700","     327218","         45.14"
"HDFCBANK","IL","05-Jun-2017","       1642.05","       1642.00","       1658.00","       1642.00","-","       1658.00","       1651.43","     169666","           280191572.00","          4","     100000","         58.94"
"HDFCBANK","EQ","06-Jun-2017","       1635.55","       1635.00","       1643.80","       1630.00","       1639.00","       1638.95","       1638.50","    1250658","          2049200642.30","      14396","     921531","         73.68"
"HDFCBANK","EQ","07-Jun-2017","       1638.95","       1640.40","       1644.90","       1630.35","       1641.30","       1640.80","       1638.26","     638569","          1046138986.80","      28344","     447948","         70.15"
"HDFCBANK","EQ","08-Jun-2017","       1640.80","       1643.90","       1659.40","       1641.65","       1643.60","       1644.75","       1648.30","    1062192","          1750808057.65","      25728","     582580","         54.85"
"HDFCBANK","EQ","09-Jun-2017","       1644.75","       1640.10","       1670.00","       1640.10","       1669.90","       1666.80","       1660.39","    1326318","          2202209561.65","      41645","     878389","         66.23"
"HDFCBANK","EQ","12-Jun-2017","       1666.80","       1664.00","       1676.00","       1660.00","       1666.00","       1668.75","       1666.54","     992853","          1654628890.15","      40006","     658975","         66.37"
"HDFCBANK","IL","12-Jun-2017","       1658.00","       1665.00","       1665.00","       1665.00","-","       1665.00","       1665.00","      99481","           165635865.00","          2","      99481","        100.00"
"HDFCBANK","EQ","13-Jun-2017","       1668.75","       1661.75","       1691.90","       1661.00","       1674.00","       1676.70","       1680.14","    1262905","          2121860290.15","      37080","     831771","         65.86"
"HDFCBANK","EQ","14-Jun-2017","       1676.70","       1675.00","       1679.95","       1667.00","       1672.85","       1671.20","       1672.03","     964590","          1612824040.55","      27840","     714323","         74.05"
"HDFCBANK","EQ","15-Jun-2017","       1671.20","       1668.00","       1675.60","       1653.60","       1665.00","       1664.35","       1662.08","     881673","          1465414452.25","      17284","     530656","         60.19"
"HDFCBANK","IL","15-Jun-2017","       1665.00","       1671.25","       1671.25","       1665.00","-","       1670.00","       1669.94","    1170300","          1954329690.00","         42","    1170300","        100.00"
"HDFCBANK","EQ","16-Jun-2017","       1664.35","       1665.00","       1674.70","       1658.10","       1667.00","       1669.25","       1665.86","     938776","          1563872404.55","      18765","     583858","         62.19"
"HDFCBANK","IL","16-Jun-2017","       1670.00","       1664.95","       1665.90","       1664.95","-","       1665.90","       1665.14","        600","              999086.90","         35","        600","        100.00"
"HDFCBANK","EQ","19-Jun-2017","       1669.25","       1671.00","       1696.00","       1668.40","       1690.70","       1692.90","       1683.38","     956383","          1609958237.65","      26370","     581131","         60.76"
"HDFCBANK","EQ","20-Jun-2017","       1692.90","       1690.00","       1694.00","       1679.85","       1681.55","       1686.55","       1686.31","     915066","          1543084685.50","      22817","     675274","         73.80"
"HDFCBANK","IL","20-Jun-2017","       1665.90","       1689.00","       1707.35","       1689.00","-","       1707.35","       1699.76","     398626","           677569314.00","          9","     338626","         84.95"
"HDFCBANK","EQ","21-Jun-2017","       1686.55","       1682.60","       1701.25","       1679.60","       1696.90","       1698.70","       1692.56","     852733","          1443298486.50","      13383","     435777","         51.10"
"HDFCBANK","IL","21-Jun-2017","       1707.35","       1701.00","       1710.10","       1701.00","-","       1705.50","       1704.66","     575000","           980181225.00","         16","     540000","         93.91"
"HDFCBANK","EQ","22-Jun-2017","       1698.70","       1694.95","       1716.00","       1691.20","       1699.00","       1698.00","       1705.36","    1668865","          2846016910.10","      47395","     870934","         52.19"
"HDFCBANK","IL","22-Jun-2017","       1705.50","       1710.00","       1710.00","       1710.00","-","       1710.00","       1710.00","     380000","           649800000.00","          8","     380000","        100.00"
